DIVISION,DATE,HOME TEAM,AWAY TEAM
EPL,06-02-2021,Newcastle,Southampton
EPL,06-02-2021,Fulham,West Ham
EPL,06-02-2021,Man United,Everton
EPL,07-02-2021,Tottenham,West Brom
EPL,07-02-2021,Wolves,Leicester
EPL,07-02-2021,Liverpool,Man City
EPL,07-02-2021,Sheffield United,Chelsea
EPL,08-02-2021,Leeds Utd,Crystal Palace
EPL,13-02-2021,Leicester,Liverpool
EPL,13-02-2021,Crystal Palace,Burnley
EPL,13-02-2021,Man City,Tottenham
EPL,13-02-2021,Brighton,Aston Villa
EPL,14-02-2021,Southampton,Wolves
EPL,14-02-2021,West Brom,Man United
EPL,14-02-2021,Arsenal,Leeds Utd
EPL,14-02-2021,Everton,Fulham
EPL,15-02-2021,West Ham,Sheffield United
EPL,15-02-2021,Chelsea,Newcastle
EPL,17-02-2021,Burnley,Fulham
EPL,17-02-2021,Everton,Man City
EPL,19-02-2021,Wolves,Leeds Utd
EPL,20-02-2021,Southampton,Chelsea
EPL,20-02-2021,Burnley,West Brom
EPL,20-02-2021,Liverpool,Everton
EPL,20-02-2021,Fulham,Sheffield United
EPL,21-02-2021,West Ham,Tottenham
EPL,21-02-2021,Aston Villa,Leicester
EPL,21-02-2021,Arsenal,Man City
EPL,21-02-2021,Man United,Newcastle
EPL,22-02-2021,Brighton,Crystal Palace
EPL,23-02-2021,Leeds Utd,Southampton
EPL,27-02-2021,Man City,West Ham
EPL,27-02-2021,West Brom,Brighton
EPL,27-02-2021,Leeds Utd,Aston Villa
EPL,27-02-2021,Newcastle,Wolves
EPL,28-02-2021,Crystal Palace,Fulham
EPL,28-02-2021,Leicester,Arsenal
EPL,28-02-2021,Tottenham,Burnley
EPL,28-02-2021,Chelsea,Man United
EPL,28-02-2021,Sheffield United,Liverpool
EPL,01-03-2021,Everton,Southampton
EPL,02-03-2021,Man City,Wolves
EPL,03-03-2021,Burnley,Leicester
EPL,03-03-2021,Sheffield United,Aston Villa
EPL,03-03-2021,Crystal Palace,Man United
EPL,04-03-2021,West Brom,Everton
EPL,04-03-2021,Fulham,Tottenham
EPL,04-03-2021,Liverpool,Chelsea
EPL,06-03-2021,Burnley,Arsenal
EPL,06-03-2021,Sheffield United,Southampton
EPL,06-03-2021,Aston Villa,Wolves
EPL,06-03-2021,Brighton,Leicester
EPL,07-03-2021,West Brom,Newcastle
EPL,07-03-2021,Liverpool,Fulham
EPL,07-03-2021,Man City,Man United
EPL,07-03-2021,Tottenham,Crystal Palace
EPL,08-03-2021,Chelsea,Everton
EPL,08-03-2021,West Ham,Leeds Utd
EPL,10-03-2021,Man City,Southampton
EPL,12-03-2021,Newcastle,Aston Villa
EPL,13-03-2021,Leeds Utd,Chelsea
EPL,13-03-2021,Crystal Palace,West Brom
EPL,13-03-2021,Everton,Burnley
EPL,13-03-2021,Fulham,Man City
EPL,14-03-2021,Southampton,Brighton
EPL,14-03-2021,Leicester,Sheffield United
EPL,14-03-2021,Arsenal,Tottenham
EPL,14-03-2021,Man United,West Ham
EPL,15-03-2021,Wolves,Liverpool
EPL,19-03-2021,Fulham,Leeds Utd
EPL,20-03-2021,Brighton,Newcastle
EPL,21-03-2021,West Ham,Arsenal
EPL,21-03-2021,Aston Villa,Tottenham
EPL,03-04-2021,Chelsea,West Brom
EPL,03-04-2021,Leeds Utd,Sheffield United
EPL,03-04-2021,Leicester,Man City
EPL,03-04-2021,Arsenal,Liverpool
EPL,04-04-2021,Southampton,Burnley
EPL,04-04-2021,Newcastle,Tottenham
EPL,04-04-2021,Aston Villa,Fulham
EPL,04-04-2021,Man United,Brighton
EPL,05-04-2021,Everton,Crystal Palace
EPL,05-04-2021,Wolves,West Ham
EPL,09-04-2021,Fulham,Wolves
EPL,10-04-2021,Man City,Leeds Utd
EPL,10-04-2021,Liverpool,Aston Villa
EPL,10-04-2021,Crystal Palace,Chelsea
EPL,11-04-2021,Burnley,Newcastle
EPL,11-04-2021,West Ham,Leicester
EPL,11-04-2021,Tottenham,Man United
EPL,11-04-2021,Sheffield United,Arsenal
EPL,12-04-2021,West Brom,Southampton
EPL,12-04-2021,Brighton,Everton
EPL,16-04-2021,Everton,Tottenham
EPL,17-04-2021,Newcastle,West Ham
EPL,17-04-2021,Wolves,Sheffield United
EPL,18-04-2021,Arsenal,Fulham
EPL,18-04-2021,Man United,Burnley
EPL,19-04-2021,Leeds Utd,Liverpool
EPL,20-04-2021,Chelsea,Brighton
EPL,21-04-2021,Tottenham,Southampton
EPL,21-04-2021,Aston Villa,Man City
EPL,22-04-2021,Leicester,West Brom
EPL,23-04-2021,Arsenal,Everton
EPL,24-04-2021,Liverpool,Newcastle
EPL,24-04-2021,West Ham,Chelsea
EPL,24-04-2021,Sheffield United,Brighton
EPL,25-04-2021,Wolves,Burnley
EPL,25-04-2021,Leeds Utd,Man United
EPL,25-04-2021,Aston Villa,West Brom
EPL,26-04-2021,Leicester,Crystal Palace
EPL,30-04-2021,Southampton,Leicester
EPL,01-05-2021,Crystal Palace,Man City
EPL,01-05-2021,Brighton,Leeds Utd
EPL,01-05-2021,Chelsea,Fulham
EPL,01-05-2021,Everton,Aston Villa
EPL,02-05-2021,Newcastle,Arsenal
EPL,02-05-2021,Tottenham,Sheffield United
EPL,03-05-2021,West Brom,Wolves
EPL,03-05-2021,Burnley,West Ham
EPL,07-05-2021,Leicester,Newcastle
EPL,08-05-2021,Leeds Utd,Tottenham
EPL,08-05-2021,Sheffield United,Crystal Palace
EPL,08-05-2021,Man City,Chelsea
EPL,08-05-2021,Liverpool,Southampton
EPL,09-05-2021,Wolves,Brighton
EPL,09-05-2021,Aston Villa,Man United
EPL,09-05-2021,West Ham,Everton
EPL,09-05-2021,Arsenal,West Brom
EPL,10-05-2021,Fulham,Burnley
EPL,11-05-2021,Man United,Leicester
EPL,11-05-2021,Southampton,Crystal Palace
EPL,12-05-2021,Chelsea,Arsenal
EPL,13-05-2021,Aston Villa,Everton
EPL,13-05-2021,Man United,Liverpool
EPL,14-05-2021,Newcastle,Man City
EPL,15-05-2021,Burnley,Leeds Utd
EPL,15-05-2021,Southampton,Fulham
EPL,15-05-2021,Brighton,West Ham
EPL,16-05-2021,Crystal Palace,Aston Villa
EPL,16-05-2021,Tottenham,Wolves
EPL,16-05-2021,West Brom,Liverpool
EPL,16-05-2021,Everton,Sheffield United
EPL,18-05-2021,Man United,Fulham
EPL,18-05-2021,Southampton,Leeds Utd
EPL,18-05-2021,Brighton,Man City
EPL,18-05-2021,Chelsea,Leicester
EPL,19-05-2021,Everton,Wolves
EPL,19-05-2021,Newcastle,Sheffield United
EPL,19-05-2021,Tottenham,Aston Villa
EPL,19-05-2021,Crystal Palace,Arsenal
EPL,19-05-2021,Burnley,Liverpool
EPL,19-05-2021,West Brom,West Ham
EPL,23-05-2021,Arsenal,Brighton
EPL,23-05-2021,Aston Villa,Chelsea
EPL,23-05-2021,Fulham,Newcastle
EPL,23-05-2021,Leeds Utd,West Brom
EPL,23-05-2021,Leicester,Tottenham
EPL,23-05-2021,Liverpool,Crystal Palace
EPL,23-05-2021,Man City,Everton
EPL,23-05-2021,Sheffield United,Burnley
EPL,23-05-2021,West Ham,Southampton
EPL,23-05-2021,Wolves,Man United
